NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	COL1A1	n/a	179	1.3217965364456177	0.0060432223	No	
row_1	COL5A2	n/a	358	1.1504911184310913	0.01009226	No	
row_2	FZD2	n/a	468	1.0929538011550903	0.017217292	No	
row_3	VAV2	n/a	526	1.0582035779953003	0.026763452	No	
row_4	COL3A1	n/a	530	1.0569915771484375	0.039240945	No	
row_5	COL11A1	n/a	903	0.9233590364456177	0.02999042	No	
row_6	COL1A2	n/a	944	0.9142504334449768	0.038742356	No	
row_7	RGS4	n/a	949	0.9120389819145203	0.049431726	No	
row_8	CDK13	n/a	1450	0.8144559860229492	0.031896062	No	
row_9	SERPINE1	n/a	2164	0.7119702100753784	0.00151505	No	
row_10	ATP2C1	n/a	2768	0.6431165933609009	-0.023688655	No	
row_11	SLC7A1	n/a	3159	0.6032270789146423	-0.037749764	No	
row_12	ABCC1	n/a	3468	0.5750895738601685	-0.047674086	No	
row_13	CACNA1A	n/a	3541	0.5672081708908081	-0.044818297	No	
row_14	IGF1R	n/a	3754	0.5471000671386719	-0.04984033	No	
row_15	SLC22A18	n/a	3924	0.534288227558136	-0.052669838	No	
row_16	SIPA1L1	n/a	3953	0.5327714681625366	-0.047825594	No	
row_17	MMP16	n/a	4120	0.5199508666992188	-0.05066291	No	
row_18	SYNJ2	n/a	4196	0.5144233107566833	-0.048602063	No	
row_19	RUNX1	n/a	4471	0.4928736090660095	-0.057654873	No	
row_20	ERBB2	n/a	4664	0.4788956046104431	-0.06240155	No	
row_21	MTA1	n/a	5538	0.4225979447364807	-0.104971714	No	
row_22	PIK3R3	n/a	5752	0.40836986899375916	-0.11170745	No	
row_23	SCN8A	n/a	5853	0.4010985195636749	-0.11236573	No	
row_24	ICA1	n/a	5970	0.3935156762599945	-0.113987535	No	
row_25	ADORA2B	n/a	6254	0.371583491563797	-0.12498189	No	
row_26	MT1E	n/a	6764	0.3335823714733124	-0.14875956	No	
row_27	LTBP1	n/a	6948	0.31940793991088867	-0.15492266	No	
row_28	SCHIP1	n/a	7140	0.30478131771087646	-0.16169713	No	
row_29	MIOS	n/a	7171	0.3020956218242645	-0.15972078	No	
row_30	PLCB4	n/a	7322	0.2898213267326355	-0.1644375	No	
row_31	PIAS3	n/a	7446	0.2789599299430847	-0.1678112	No	
row_32	GCNT1	n/a	7452	0.2780574560165405	-0.16475852	No	
row_33	NIPBL	n/a	7745	0.25396329164505005	-0.17765054	No	
row_34	BDNF	n/a	7751	0.2535903751850128	-0.17489047	No	
row_35	DYRK1A	n/a	7995	0.2339451014995575	-0.18534882	No	
row_36	GJA1	n/a	8117	0.2229790836572647	-0.18928292	No	
