NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	189	-0.5289893	-2.704622	0.0	0.0	0.0	4323	tags=52%, list=23%, signal=68%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	137	-0.42988983	-2.11165	0.0	0.0	0.0	4592	tags=49%, list=25%, signal=65%	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	195	-0.40505454	-2.0909576	0.0	0.0	0.0	3615	tags=37%, list=20%, signal=45%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	111	-0.4348803	-2.0536234	0.0	0.0	0.0	4119	tags=41%, list=22%, signal=52%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	152	-0.41199225	-2.0535634	0.0	0.0	0.0	4030	tags=44%, list=22%, signal=56%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	195	-0.39012352	-2.0125928	0.0	1.72043E-4	0.001	4392	tags=39%, list=24%, signal=51%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	192	-0.35503215	-1.8462627	0.0	9.7288E-4	0.006	3054	tags=30%, list=17%, signal=35%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	187	-0.3035505	-1.5315725	0.001618123	0.03685012	0.243	2938	tags=28%, list=16%, signal=33%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	87	-0.33531457	-1.5124592	0.010416667	0.038222894	0.274	2261	tags=26%, list=12%, signal=30%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	194	-0.29058027	-1.5040683	0.008012821	0.036465563	0.288	4096	tags=34%, list=22%, signal=43%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	130	-0.3032068	-1.4548544	0.013422819	0.052361142	0.418	2919	tags=28%, list=16%, signal=33%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING	Details ...	54	-0.32945052	-1.3890564	0.055762082	0.08513927	0.608	4776	tags=43%, list=26%, signal=57%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	194	-0.26451933	-1.3537227	0.023294508	0.104752	0.712	4835	tags=36%, list=26%, signal=48%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME	Details ...	101	-0.2820714	-1.3082193	0.06557377	0.13719061	0.835	4136	tags=36%, list=22%, signal=46%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	197	-0.24302873	-1.2566473	0.058626465	0.1916428	0.936	3032	tags=21%, list=16%, signal=25%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	190	-0.24110569	-1.234735	0.10350318	0.21308406	0.964	2351	tags=18%, list=13%, signal=20%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	192	-0.23407674	-1.1913799	0.13014828	0.27178553	0.99	3542	tags=26%, list=19%, signal=32%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	197	-0.22165658	-1.146657	0.16393442	0.352619	0.998	3262	tags=22%, list=18%, signal=27%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	45	-0.2906913	-1.1459904	0.23861566	0.3350453	0.998	1925	tags=22%, list=10%, signal=25%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	158	-0.21954602	-1.1041561	0.25774878	0.41337806	1.0	2189	tags=17%, list=12%, signal=19%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		95	-0.23033921	-1.0545893	0.3581081	0.5234558	1.0	4685	tags=33%, list=25%, signal=43%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		35	-0.27930024	-1.0416898	0.3851718	0.53550345	1.0	2693	tags=29%, list=15%, signal=33%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA		189	-0.18712746	-0.9694506	0.52682924	0.7294695	1.0	4375	tags=30%, list=24%, signal=39%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE		195	-0.1813508	-0.93730456	0.62731874	0.79828787	1.0	2793	tags=17%, list=15%, signal=20%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY		190	-0.17694673	-0.9150284	0.66773677	0.8305896	1.0	2365	tags=16%, list=13%, signal=19%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY		192	-0.17188895	-0.8885016	0.7433775	0.87482226	1.0	3032	tags=16%, list=16%, signal=19%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		34	-0.23201667	-0.8547924	0.7084871	0.9274094	1.0	4905	tags=35%, list=27%, signal=48%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING		32	-0.23240402	-0.84956014	0.7111111	0.9057619	1.0	2639	tags=19%, list=14%, signal=22%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING		42	-0.21588093	-0.84536946	0.7214022	0.88394654	1.0	3423	tags=24%, list=19%, signal=29%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION		182	-0.16381884	-0.8351971	0.8285229	0.8753881	1.0	3787	tags=22%, list=21%, signal=27%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN		179	-0.13117285	-0.66082317	0.9967742	1.0	1.0	3899	tags=20%, list=21%, signal=25%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING		34	-0.15982601	-0.59351164	0.98043054	0.9959907	1.0	2693	tags=15%, list=15%, signal=17%	
