NAME	SYMBOL	TITLE	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	SHROOM2	n/a	48	1.684261679649353	0.07191066	Yes	
row_1	HSPB1	n/a	54	1.6406614780426025	0.14422612	Yes	
row_2	SULF2	n/a	102	1.4660611152648926	0.20653734	Yes	
row_3	THY1	n/a	1281	0.8436814546585083	0.17992897	Yes	
row_4	PLAUR	n/a	1522	0.8019720911979675	0.20238438	Yes	
row_5	EPHB4	n/a	1588	0.792352557182312	0.23391216	Yes	
row_6	NCOA6	n/a	1597	0.7903085350990295	0.26844314	Yes	
row_7	B4GALT1	n/a	2680	0.6526462435722351	0.23859322	Yes	
row_8	BRCA1	n/a	2744	0.6454091668128967	0.2637284	Yes	
row_9	ATP6V0A4	n/a	3177	0.6016742587089539	0.26690155	Yes	
row_10	GATA3	n/a	3632	0.5596799850463867	0.2670227	Yes	
row_11	LYPD3	n/a	3774	0.5453462600708008	0.28349748	Yes	
row_12	SLC34A3	n/a	3890	0.5360706448554993	0.30097303	Yes	
row_13	RHCG	n/a	4719	0.4749673008918762	0.2770478	No	
row_14	NTNG1	n/a	5621	0.416778564453125	0.24658614	No	
row_15	IL2RG	n/a	6020	0.3901318907737732	0.24224544	No	
row_16	PCSK9	n/a	7673	0.2605772316455841	0.16411321	No	
row_17	ATP8B1	n/a	8167	0.21750573813915253	0.14697906	No	
row_18	APP	n/a	8395	0.197442889213562	0.1433942	No	
row_19	IL2RB	n/a	8465	0.1917986124753952	0.14813493	No	
row_20	LYN	n/a	9759	0.07807955890893936	0.08141296	No	
row_21	EFNA5	n/a	10222	0.03272974118590355	0.05778638	No	
row_22	CROCC	n/a	10290	0.026222964748740196	0.055310182	No	
row_23	GHRL	n/a	10371	0.018357453867793083	0.051780432	No	
row_24	GSTM3	n/a	10437	0.011895913630723953	0.04877892	No	
row_25	FLOT2	n/a	10578	-0.00196483894251287	0.04126748	No	
row_26	TMEM8B	n/a	10915	-0.03785305842757225	0.024706097	No	
row_27	ADAM10	n/a	11071	-0.054021064192056656	0.018683637	No	
row_28	PKHD1	n/a	11133	-0.059466652572155	0.018003866	No	
row_29	MDGA1	n/a	11233	-0.06944453716278076	0.015703127	No	
row_30	CD160	n/a	11497	-0.09859754145145416	0.005791236	No	
row_31	CX3CL1	n/a	12771	-0.24623847007751465	-0.052405488	No	
row_32	GAS1	n/a	12942	-0.26624175906181335	-0.049852904	No	
row_33	ADIPOR2	n/a	13189	-0.298179030418396	-0.050012168	No	
row_34	RTN4RL1	n/a	13760	-0.36545437574386597	-0.06477981	No	
row_35	DCBLD2	n/a	13837	-0.3727850019931793	-0.052411728	No	
row_36	AFAP1L2	n/a	16086	-0.7118499875068665	-0.1429259	No	
row_37	SLC2A4	n/a	16285	-0.7538332939147949	-0.12032077	No	
row_38	MAL	n/a	16967	-0.9040310382843018	-0.117284894	No	
row_39	SCUBE1	n/a	16977	-0.9068678617477417	-0.07765133	No	
row_40	SLC22A12	n/a	17406	-1.0264383554458618	-0.055468522	No	
row_41	AKAP7	n/a	17942	-1.2221784591674805	-0.030433023	No	
row_42	SRPX	n/a	18135	-1.3306835889816284	0.018019015	No	
