id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
COL11A1	9282.31133252429	7.7893745019772	0.922624018774261	8.44263138989776	3.10272351510237e-17	3.14397148653843e-14
CST1	439.041044999218	7.46011582278122	0.982806867852183	7.59062239673242	3.183724892202e-14	1.30578202364456e-11
MMP13	405.388218469186	7.37293372270308	0.692319845453909	10.6496062060291	1.75104216236246e-26	1.50817261444279e-22
COL10A1	4376.20261171075	6.30952383572985	0.732412138189019	8.6147177343769	7.01141172514191e-18	1.00648815314412e-14
TNNT1	705.819651294315	6.17019888791811	0.945040076103869	6.52903410546998	6.61951783091336e-11	1.06099279808424e-08
MMP11	9462.81246087808	5.86777008007296	0.689741888524245	8.50719693511365	1.78188729959218e-17	2.19248504448392e-14
TMEM215	58.6889928359489	5.84869668734008	1.00431258599656	5.82358198920363	5.75995366748585e-09	4.79328318242084e-07
TNNI3	51.9541651130698	5.83041258339568	0.99677557256311	5.84927314019479	4.93725758845443e-09	4.1896157250599e-07
PTPRN	107.108373627634	5.81274167532107	0.78092198833664	7.44343450707821	9.81007485317182e-14	3.37976698841476e-11
GJB2	2326.18905460297	5.57657089807625	0.636353551191033	8.76332172208176	1.89579616465054e-18	3.62855385914114e-15
EPYC	135.93760656251	5.56173594951958	0.969753798330453	5.73520408901183	9.73949958875991e-09	7.55732522144046e-07
COL22A1	870.875220511373	5.51913856406132	0.976410149146748	5.65247971754934	1.5814946531237e-08	1.14948636686536e-06
TLX1	318.640997760808	5.42455907066342	1.03906297661429	5.22062588385061	1.78319446751476e-07	8.75136977134167e-06
MMP1	451.377404848536	5.35900161388938	0.976424882525496	5.48839107830648	4.05611259599239e-08	2.56877189627077e-06
UBE2C	2664.56924457338	5.35705448202925	0.90897295701084	5.89352459906611	3.78043792161095e-09	3.3395806993677e-07
UTS2	18.7713466492193	5.35077685429461	0.991617165361956	5.39601071986435	6.81388772622041e-08	3.97542911398189e-06
KIAA1199	890.748877053189	5.31115447617859	0.7089331739895	7.49175616411097	6.79580896993685e-14	2.55862889919108e-11
KREMEN2	144.063952506781	5.26781570232711	0.870427094072874	6.05198957867696	1.43067727323235e-09	1.45827495317754e-07
WBSCR28	13.1430379832896	5.24893310537558	1.09540526040248	4.79177277590121	1.65314066824501e-06	5.15887702014285e-05
SCT	11.7129861228729	5.19528307194254	1.09337124583366	4.75161853006417	2.0179480982297e-06	6.17427601067582e-05
